pair,locus,K,theta1,theta2,r_e,cf_slope,cf_intercept,p_gate_joint
P2a,77,224,0.471874889020066,0.398649382105885,0.10897,0.9940058320431158,0.0017626549858024239,0.969478162137975
P2a,97,350,0.260888182002717,0.395238774727042,0.10897,0.9833852212343674,0.003850897908669124,0.9252912445021033
P2a,125,333,0.169368024100174,0.396849755907265,0.10897,0.9117554805685265,0.01621020091543104,0.6567795789141183
P2a,224,387,0.206727212958858,0.399012409069325,0.10897,0.9625312607390472,0.007422757342550923,0.8410687748896409
P2a,267,522,0.170055012492636,0.481281845399267,0.10897,0.9557776377862744,0.00699262306298212,0.8212322247530841
P2a,278,264,0.166161306596806,0.399347661540453,0.10897,0.8809485453333299,0.022531646042754865,0.5570094385030724
P2a,377,288,0.397218511738964,0.397941568949904,0.10897,0.9968821193491344,0.0009496620016878937,0.9846635166564311
P2a,404,402,0.169079568099605,0.40016682751726,0.10897,0.930950111131856,0.0122805381947352,0.7259881539121729
P2a,417,336,0.169461354916603,0.395050295919776,0.10897,0.9128116137080577,0.016039350827741813,0.6604323648165586
P2a,421,328,0.167086510453278,0.393314268450544,0.10897,0.9070619054816816,0.017098658566020705,0.641547801105736
P2a,436,351,0.170672051889069,0.398933787411736,0.10897,0.919040362892761,0.014758609090882398,0.6819821923816387
P2a,450,459,0.169386318111954,0.398817292339747,0.10897,0.9439043943199632,0.009851459714567318,0.7749297060003009
P2a,456,269,0.170011894175193,0.405108331297005,0.10897,0.888761631319023,0.021000782095718325,0.5796289550001266
P2a,481,427,0.1707658619567,0.430871977746665,0.10897,0.9387791520382424,0.010451635061932559,0.754877795839699
P2a,514,147,0.168066514655095,0.386908360457915,0.10897,0.8031705721765036,0.04314645939216927,0.35131829404212805
P2a,517,183,0.210076152290813,0.400085004302252,0.10897,0.8884328651303869,0.025298324152840165,0.5597662125054074
P2a,518,300,0.170677215714874,0.398552136816438,0.10897,0.9019609413732115,0.018349392795911943,0.6226641736459764
P2a,541,259,0.229164007000123,0.400084403581669,0.10897,0.9448941925923783,0.012240013465210942,0.7623971872186721
P2a,545,247,0.170324096768081,0.400137855016563,0.10897,0.8787470403066182,0.023485551668781184,0.5480963118910263
P2a,597,202,0.312750880759477,0.394791242938241,0.10897,0.9661087450701966,0.009392859810002867,0.839346020055437
P2a,609,107,0.227054474076897,0.399700921701672,0.10897,0.8284304086435286,0.043671396614145756,0.3771230238164269
P2a,613,452,0.169776413806952,0.396326770684609,0.10897,0.9429139962281256,0.010085921093077738,0.7710050749366957
P2a,653,305,0.170534824975038,0.400714075486077,0.10897,0.9036874141845935,0.017908886846049393,0.6285504887680593
P2a,663,216,0.16986288307053,0.403927923866275,0.10897,0.8616202647869042,0.027382013083217315,0.49752594680581186
P2a,698,459,0.169773823428179,0.401804324513354,0.10897,0.9443280355430622,0.00975009063337098,0.7764537739377324
P2a,714,253,0.243301564500526,0.405314240900763,0.10897,0.9527299111082591,0.010811848642343953,0.7917303349779047
P2a,718,298,0.16780255626303,0.398573629661721,0.10897,0.8973813553278751,0.01908295909848818,0.6087001166018465
P2a,728,396,0.169813672069142,0.396039112530407,0.10897,0.9302988800919656,0.012515452217089851,0.7233251418743307
P2a,780,315,0.169942677259507,0.404286607390541,0.10897,0.906573011966794,0.017159746067665727,0.6386239979530419
P2a,789,436,0.224384353949541,0.40108506294822,0.10897,0.9803300808611478,0.004025076280462347,0.9150506944769222
P2a,790,417,0.170206230020286,0.396686183664965,0.10897,0.935810280041171,0.011454148231363738,0.7438104380310312
P2a,824,247,0.168832368601439,0.401445015903235,0.10897,0.8767536101519476,0.023731087266446113,0.5427640424216119
P2a,875,282,0.284868996161368,0.401065616608393,0.10897,0.9801507944500483,0.004963959013590298,0.9081102158924534
P2a,907,359,0.171358206214145,0.401532804831121,0.10897,0.9222553199612545,0.014100502433011053,0.6932896831213463
P2a,918,596,0.169435228003928,0.394499128029073,0.10897,0.9655165120145612,0.005950674662951218,0.8603857843537347
P2a,922,326,0.180140200090588,0.395185652177592,0.10897,0.9224803114655492,0.014741958424977638,0.6908614167318536
P2a,942,135,0.169893178871442,0.878885177658726,0.10897,0.8155335817837861,0.025950077349389436,0.3786701138519731
P2a,957,79,0.580440014049698,1.42250563210179,0.10897,0.9855336933564341,0.0032987540087534993,0.9106825569546685
P2a,990,158,0.229091002370047,0.404163978775533,0.10897,0.8881164468998776,0.02696478904475784,0.5503101665478046
P2a,1002,190,0.171249140743065,0.461075010466107,0.10897,0.8513072109127221,0.02794427477895442,0.467720101028557
P2a,1017,177,0.170488032874567,0.399258838294303,0.10897,0.8355166823324757,0.034295218088758433,0.4265451459686693
P2a,1019,164,0.170292363382927,0.40227924981336,0.10897,0.8250594125024038,0.036891383272277464,0.40055004568422486
P2a,1020,152,0.180189575351652,0.399104860104088,0.10897,0.8274030299648772,0.037997800482238595,0.40023357971720064
P2a,1031,124,0.367492076311222,0.40192087783984,0.10897,0.9374310008313148,0.01876253893497605,0.7009691177847801
P2a,1106,255,0.170173144198607,0.402590260118237,0.10897,0.882531050426767,0.02250941028845163,0.5598776716539345
P2a,1178,213,0.169285512198446,0.402264179189827,0.10897,0.8588638424550727,0.02804519274700805,0.4900213481286006
P2a,1183,250,0.170290771154102,0.40154537140876,0.10897,0.8802493255293746,0.02308393349078768,0.5527366699014691
P2a,1234,330,0.349604526456844,0.417961066509339,0.10897,0.9970218879950652,0.0008299655441626511,0.9858152314113919
P2a,1237,391,0.168105909025907,0.39502900455042,0.10897,0.9269785473199603,0.01308969999232207,0.7116829608030779
P2a,1244,483,0.200725513170991,0.428557866403002,0.10897,0.9738548204174694,0.004811350808253935,0.8899467285669205
P2a,1301,318,0.311184586287893,0.474885126470041,0.10897,0.9924357577302705,0.0017815136726342053,0.9645937255678119
P2a,1327,315,0.170344983326691,0.399866357971161,0.10897,0.9069999860478942,0.017210161737602883,0.6399249395974704
P2a,1367,363,0.18293054634801,0.394669856588057,0.10897,0.936295491996165,0.012017714240415806,0.7416271512753935
P2a,1384,201,0.17059431266471,0.402196469059183,0.10897,0.8531657592184578,0.02965078083350917,0.4733595452769273
P2a,1403,243,0.169464047728526,0.401507694725413,0.10897,0.8756397965624003,0.024063736774142256,0.5390511661300732
P2a,1412,496,0.168444629516931,0.396430350853531,0.10897,0.9498195236661539,0.00874745116625026,0.7981498076098877
P2a,1481,442,0.186983381167862,0.390616356104017,0.10897,0.9575314812173458,0.007954890015746098,0.8244864876872574
P2a,1504,346,0.169003125990802,0.401228695047374,0.10897,0.9154690128037954,0.015323571554945858,0.6699408604001864
P2a,1511,261,0.165557816128611,0.391482002101559,0.10897,0.8782944561773249,0.023338922233845868,0.5492010472240081
P2a,1541,171,0.480989319313305,0.403129438406689,0.10897,0.9849114611958854,0.004507468369333282,0.9216056825046928
P2a,1567,325,0.170270006341606,0.396965808720125,0.10897,0.9102684968383467,0.016586193526930217,0.6512365134598754
P2a,1588,290,0.168552480745245,0.402372981395561,0.10897,0.8953981548467005,0.019475717162713926,0.6018197093570814
P2a,1664,39,0.402536273680402,0.783422567957533,0.10897,0.8723808606389744,0.03723460732837751,0.4092784569005911
P2a,1671,338,0.168836816041128,0.462760329012494,0.10897,0.9131972546967677,0.014609666544475871,0.6619825055448993
P2a,1692,237,0.391405023452788,0.401275793099041,0.10897,0.9918978873212949,0.0024623397806659095,0.9595365351604911
P2a,1704,321,0.167886631089182,0.393804227965796,0.10897,0.9057392682727855,0.01742995836640006,0.6366912702778927
P2a,1706,208,0.253622668001194,0.396817407155498,0.10897,0.9397438004455827,0.014771996732706785,0.7348222375129858
P2a,1775,113,0.165837421322693,0.553335714220519,0.10897,0.7854523862706675,0.04025606564837833,0.31595610507175187
P2a,1786,270,0.204132133784515,0.44093519579894,0.10897,0.9292278540137725,0.013818163607887497,0.7074468736450907
P2a,1791,343,0.209835994521772,0.3994210098507,0.10897,0.9552736265513678,0.009063052868377981,0.8100874388151069
P2a,1852,593,0.282186296203629,0.397982123845179,0.10897,0.9990735471251997,0.00021871083289994343,0.9960123195258196
P2a,1854,233,0.169508885421358,0.399325014012665,0.10897,0.8703482280714925,0.025401188673118094,0.5231694492324253
P2a,1886,311,0.185962305273969,0.397242322828419,0.10897,0.9241115354073984,0.014722004023973678,0.6947246373669098
P2a,1887,383,0.169227479147518,0.422280936195476,0.10897,0.9264018099309572,0.012802537469595584,0.7091522249608679
P2a,1892,237,0.168254428519378,0.396060832164172,0.10897,0.8704784529161907,0.025334207051627054,0.5242440291146653
P2a,1918,216,0.171302327873097,0.398333182352927,0.10897,0.8631547227026561,0.027418513517595364,0.5011645397021236
