locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
1226,7,426,0.00336051,0.000146263,0.15981666880346057,0.26419960459612124,0.9129539412891429,0.019329325792383632,False,0.00460072,-0.016132912216344678,-0.016132912216344678,-0.68112,0.5417,1.22282,1.3394103959651116
1229,7,283,0.0229664,0.0154729,0.0,0.04363426426460623,0.0,0.18929880693486142,True,-0.0452967,-1.0,-inf,-1.0,0.88833,1.8883299999999998,
1233,8,285,0.00291108,0.0238871,0.20275356555669227,0.0,0.0,0.11379249956379488,True,0.192919,1.0,inf,-0.70675,1.0,1.70675,
1234,8,330,2.26277e-05,8.42338e-07,0.3494931872201648,0.42062544745134844,0.9967438017285766,0.000904413792317715,False,-0.175511,-0.17699173397052878,-0.17699173397052878,-0.64526,0.19752,0.84278,0.8455332238218398
1241,8,598,0.00520546,4.17341e-09,0.11649768535739077,0.3757961792982659,0.8827015754146229,0.017627649501713232,False,-0.363757,-0.43206521900968525,-0.43206521900968525,-1.0,0.0497,1.0497,1.1891901286195559
1242,8,433,0.00015101,0.00205525,0.261245081069539,0.1808066036298797,0.9382685238456193,0.014619440637332056,False,-0.253245,-0.28548803869009026,-0.28548803869009026,-1.0,0.25453,1.25453,1.3370692590838926
1244,8,483,0.00157245,1.67475e-09,0.1816140211755804,0.433372513280561,0.95646032644289,0.00758070126352207,False,-0.207804,-0.22518937305486095,-0.22518937305486095,-0.76886,0.18179,0.95065,0.9939251777807672
1249,8,344,0.00998159,8.63815e-06,0.09556801088848042,0.36349554284202057,0.7650201858828987,0.03640336912200293,False,-0.158541,-0.25482251673793477,-0.25482251673793477,-0.95767,0.38041,1.3380800000000002,1.7490780304780345
1250,8,400,0.00195643,0.000797601,0.1899863722589395,0.22376647063323107,0.9236174206935777,0.01967818357736174,False,0.043536,0.025830842823127528,0.025830842823127528,-0.64166,0.60951,1.2511700000000001,1.3546409714321448
1254,8,269,0.00069046,0.00758788,0.2795924913353889,0.13588909074247602,0.8123519686011812,0.04058520854960808,False,0.360147,0.3933784908537332,0.3933784908537332,-0.26864,1.0,1.26864,1.5616876046777088
1260,8,312,0.000130043,0.000796695,0.3136734044087084,0.25363832005515863,0.9657986122485571,0.009068977159971675,False,-0.112662,-0.1260417809842981,-0.1260417809842981,-0.75091,0.37846,1.12937,1.169363867039132
1267,8,503,0.0288622,0.00162936,0.0,0.17687407273287853,0.0,0.10433147239729418,True,-0.0513063,-1.0,-inf,-1.0,0.69512,1.69512,
1271,8,330,0.00372396,1.51692e-05,0.1746105804847058,0.35886346607346475,0.9129975113010393,0.01733094385735252,False,0.166697,0.16359963120797333,0.16359963120797333,-0.404,0.70858,1.11258,1.2186013501992483
1274,8,424,0.0342603,7.20986e-05,0.0,0.2815002927679614,0.0,0.08133772230860065,True,-0.0998598,-1.0,-inf,-1.0,0.56317,1.56317,
1276,8,313,0.0217261,0.00889711,0.0,0.11162198335080412,0.0,0.14910950937512335,True,0.0375296,-1.0,-inf,-1.0,0.94848,1.94848,
1277,8,293,0.00135703,1.22924e-08,0.23912720893410672,0.5339651468506098,0.9619609723102645,0.007195157492240847,False,-0.111225,-0.12310287101132665,-0.12310287101132665,-0.6522,0.30821,0.96041,0.9983876972612106
1278,8,123,0.0106436,0.000104213,0.14156813219453,0.5298550626909253,0.753403525388715,0.043945305478016596,False,0.578304,0.7092596152191929,0.7092596152191929,0.00164,1.0,0.99836,1.3251331674946716
1279,8,287,0.00125702,0.00109275,0.24514359563667384,0.25137387120163995,0.9324710827224151,0.018361432935816487,False,-0.272441,-0.31186214599470286,-0.31186214599470286,-1.0,0.27326,1.27326,1.3654686173029922
1280,8,574,0.000406271,0.0001525,0.20493262255179598,0.22674415276434312,0.9736249675699326,0.006888100174592211,False,-0.196902,-0.2093106760431907,-0.2093106760431907,-0.89045,0.25885,1.1493,1.180433984626066
1284,8,290,5.35415e-05,0.00170039,0.3515240452583584,0.22968927567945036,0.9505460419519886,0.011769891757786938,False,-0.486027,-0.523695717816613,-0.523695717816613,-1.0,-0.01278,0.98722,1.0385819901713544
1291,8,222,0.00869948,0.00597463,0.13343439046847336,0.17267144728242825,0.699372799188523,0.0744554807603417,False,-0.614301,-0.9848202297251203,-0.9848202297251203,-1.0,0.03423,1.03423,1.4787964318886997
1293,8,270,0.00982188,0.000503939,0.10843054469336492,0.29154356368977236,0.7576493094072979,0.047201797493936146,False,0.146467,0.13101734704109758,0.13101734704109758,-0.59131,0.84871,1.44002,1.9006418696883847
1295,8,255,0.0237603,0.0136949,0.0,0.06593230631138623,0.0,0.17781351749778948,True,0.174003,-1.0,-inf,-0.9314,1.0,1.9314,
1296,8,245,1.69286e-06,6.47769e-09,0.47834338169633445,0.6041481703893988,0.9993644178951133,0.0001848233071658598,False,0.300411,0.3004171164360425,0.3004171164360425,-0.0365,0.6439,0.6804,0.6808327250964926
1297,8,162,0.0137902,0.000558794,0.07881314990801239,0.37625054884332804,0.6215006277181668,0.06444287376844098,False,0.216186,0.24415603052354481,0.24415603052354481,-0.53543,1.0,1.5354299999999999,2.4705204331608086
1298,8,283,0.00405542,0.000123467,0.1824896462012897,0.33175891828202014,0.9020063286009578,0.02155744895645986,False,-0.36859,-0.4325329397207131,-0.4325329397207131,-1.0,0.15781,1.15781,1.2835940982762308
1301,8,318,0.000156913,7.03551e-08,0.3051262225847616,0.4778892086878485,0.9907551709690298,0.002142144250413821,False,0.373058,0.3743769062409271,0.3743769062409271,-0.01987,0.79199,0.81186,0.8194355414829101
